CHN,Plane,Strip
0,1,94
1,1,93
2,1,92
3,1,91
4,1,90
5,1,89
6,1,88
7,1,87
8,1,86
9,1,85
10,1,84
11,1,83
12,1,82
13,1,81
14,1,80
15,1,79
16,1,78
17,1,77
18,1,76
19,1,75
20,1,74
21,1,73
22,1,72
23,1,71
24,1,70
25,1,69
26,1,68
27,1,67
28,1,66
29,1,65
30,1,64
31,1,63
32,2,175
33,2,176
34,2,177
35,2,178
36,2,179
37,2,180
38,2,181
39,2,182
40,2,183
41,2,184
42,2,185
43,2,186
44,2,187
45,2,188
46,2,189
47,2,190
48,2,159
49,2,160
50,2,161
51,2,162
52,2,163
53,2,164
54,2,165
55,2,166
56,2,167
57,2,168
58,2,169
59,2,170
60,2,171
61,2,172
62,2,173
63,2,174
64,1,110
65,1,109
66,1,108
67,1,107
68,1,106
69,1,105
70,1,104
71,1,103
72,1,102
73,1,101
74,1,100
75,1,99
76,1,98
77,1,97
78,1,96
79,1,95
80,1,126
81,1,125
82,1,124
83,1,123
84,1,122
85,1,121
86,1,120
87,1,119
88,1,118
89,1,117
90,1,116
91,1,115
92,1,114
93,1,113
94,1,112
95,1,111
96,2,191
97,2,192
98,2,193
99,2,194
100,2,195
101,2,196
102,2,197
103,2,198
104,2,199
105,2,200
106,2,201
107,2,202
108,2,203
109,2,204
110,2,205
111,2,206
112,2,207
113,2,208
114,2,209
115,2,210
116,2,211
117,2,212
118,2,213
119,2,214
120,2,215
121,2,216
122,2,217
123,2,218
124,2,219
125,2,220
126,2,221
127,2,222